path,oldUrl,targetUrl,oldStatus,targetStatus,finalUrl,classification,title,canonical,contentType,redirectChain,notes
/,https://www.nexubis.io/,https://nexubis.vercel.app/,200,200,https://nexubis.vercel.app/,SAME_PATH_200,Nexubis | Your in-house creative team,,text/html; charset=utf-8,,
/about,https://www.nexubis.io/about,https://nexubis.vercel.app/about,200,200,https://nexubis.vercel.app/about,SAME_PATH_200,About Nexubis,https://www.nexubis.io/about,text/html; charset=utf-8,,
/blog,https://www.nexubis.io/blog,https://nexubis.vercel.app/blog,200,200,https://nexubis.vercel.app/blog,SAME_PATH_200,Nexubis - Dreamlab Blog,https://www.nexubis.io/blog,text/html; charset=utf-8,,
/contact,https://www.nexubis.io/contact,https://nexubis.vercel.app/contact,200,200,https://nexubis.vercel.app/contact,SAME_PATH_200,Nexubis - Contact Us,https://www.nexubis.io/contact,text/html; charset=utf-8,,
/packages,https://www.nexubis.io/packages,https://nexubis.vercel.app/packages,200,200,https://nexubis.vercel.app/packages,SAME_PATH_200,Nexubis - Packages,,text/html; charset=utf-8,,
/post/10-better-or-dont-bother,https://www.nexubis.io/post/10-better-or-dont-bother,https://nexubis.vercel.app/post/10-better-or-dont-bother,200,200,https://nexubis.vercel.app/post/10-better-or-dont-bother,SAME_PATH_200,Redesigning with Purpose: How We Turned Confusion Into Conversion (While Competitors Stayed Comfortable),https://www.nexubis.io/post/10-better-or-dont-bother,text/html; charset=utf-8,,
/post/2025-in-retrospect,https://www.nexubis.io/post/2025-in-retrospect,https://nexubis.vercel.app/post/2025-in-retrospect,200,200,https://nexubis.vercel.app/post/2025-in-retrospect,SAME_PATH_200,2025 in Retrospect: The Hard Lessons of Building a Scalable Creative Company,https://www.nexubis.io/post/2025-in-retrospect,text/html; charset=utf-8,,
/post/ai-is-not-a-phase-its-an-era,https://www.nexubis.io/post/ai-is-not-a-phase-its-an-era,https://nexubis.vercel.app/post/ai-is-not-a-phase-its-an-era,200,200,https://nexubis.vercel.app/post/ai-is-not-a-phase-its-an-era,SAME_PATH_200,The Webflow Exit: Building High-Performance Sites with AI & Sanity (2026),https://www.nexubis.io/post/ai-is-not-a-phase-its-an-era,text/html; charset=utf-8,,
/post/ai-isnt-coming-its-already-here,https://www.nexubis.io/post/ai-isnt-coming-its-already-here,https://nexubis.vercel.app/post/ai-isnt-coming-its-already-here,200,200,https://nexubis.vercel.app/post/ai-isnt-coming-its-already-here,SAME_PATH_200,AI is Here: Why You Need to Adapt or Risk Being Left Behind,https://www.nexubis.io/post/ai-isnt-coming-its-already-here,text/html; charset=utf-8,,
/post/altify-empowering-nexubis,https://www.nexubis.io/post/altify-empowering-nexubis,https://nexubis.vercel.app/post/altify-empowering-nexubis,200,200,https://nexubis.vercel.app/post/altify-empowering-nexubis,SAME_PATH_200,Altify: Empowering Nexubis,https://www.nexubis.io/post/altify-empowering-nexubis,text/html; charset=utf-8,,
