path,oldUrl,sourceEvidence,contentType,publishedStatus,oldResponseStatus,oldPageTitle,expectedRebuiltRoute,notes,captureTimestamp
/,https://www.nexubis.io/,static route inventory; webflow-export/index.html; live Webflow sitemap,static_page,published,200,"Nexubis - B2B Design, Development and Growth Partner",https://nexubis.vercel.app/,,2026-07-29T20:51:21.023Z
/about,https://www.nexubis.io/about,static route inventory; webflow-export/about.html; live Webflow sitemap,static_page,published,200,About Nexubis,https://nexubis.vercel.app/about,,2026-07-29T20:51:21.023Z
/blog,https://www.nexubis.io/blog,static route inventory; webflow-export/blog.html; live Webflow sitemap,static_page,published,200,Nexubis - Dreamlab Blog,https://nexubis.vercel.app/blog,,2026-07-29T20:51:21.023Z
/contact,https://www.nexubis.io/contact,static route inventory; webflow-export/contact.html; live Webflow sitemap,static_page,published,200,Nexubis - Contact Us,https://nexubis.vercel.app/contact,,2026-07-29T20:51:21.023Z
/packages,https://www.nexubis.io/packages,static route inventory; webflow-export/packages.html; live Webflow sitemap,static_page,published,200,Nexubis - Packages,https://nexubis.vercel.app/packages,,2026-07-29T20:51:21.023Z
/post/10-better-or-dont-bother,https://www.nexubis.io/post/10-better-or-dont-bother,live Webflow sitemap; raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,Redesigning with Purpose: How We Turned Confusion Into Conversion (While Competitors Stayed Comfortable),https://nexubis.vercel.app/post/10-better-or-dont-bother,,2026-07-29T20:51:21.023Z
/post/2025-in-retrospect,https://www.nexubis.io/post/2025-in-retrospect,live Webflow sitemap; raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,2025 in Retrospect: The Hard Lessons of Building a Scalable Creative Company,https://nexubis.vercel.app/post/2025-in-retrospect,,2026-07-29T20:51:21.023Z
/post/ai-is-not-a-phase-its-an-era,https://www.nexubis.io/post/ai-is-not-a-phase-its-an-era,raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,The Webflow Exit: Building High-Performance Sites with AI & Sanity (2026),https://nexubis.vercel.app/post/ai-is-not-a-phase-its-an-era,,2026-07-29T20:51:21.023Z
/post/ai-isnt-coming-its-already-here,https://www.nexubis.io/post/ai-isnt-coming-its-already-here,live Webflow sitemap; raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,AI is Here: Why You Need to Adapt or Risk Being Left Behind,https://nexubis.vercel.app/post/ai-isnt-coming-its-already-here,,2026-07-29T20:51:21.023Z
/post/altify-empowering-nexubis,https://www.nexubis.io/post/altify-empowering-nexubis,live Webflow sitemap; raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,Altify: Empowering Nexubis,https://nexubis.vercel.app/post/altify-empowering-nexubis,,2026-07-29T20:51:21.023Z
/post/automation-is-not-the-enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,live Webflow sitemap; raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,AI Is Rebuilding the Creative Stack — Faster Than You Think,https://nexubis.vercel.app/post/automation-is-not-the-enemy,,2026-07-29T20:51:21.023Z
/post/beyond-the-eu30-000,https://www.nexubis.io/post/beyond-the-eu30-000,raw Webflow Blog CMS export; final Blog/Sanity manifest,blog_post,published,200,"Design Subscription vs Hourly: How Oxipack Saved €14,975 & Scaled Output",https://nexubis.vercel.app/post/beyond-the-eu30-000,,2026-07-29T20:51:21.023Z
